,FGFR2_l123_s671446_mpnn2_model2,FGFR2_l146_s683833_mpnn5_model1,FGFR2_l83_s670258_mpnn4_model2,FGFR2_l83_s670258_mpnn1_model2,FGFR2_l78_s690935_mpnn11_model2,FGFR2_l78_s690935_mpnn6_model2
FGFR2_l123_s671446_mpnn2_model2,100.0,0.0,0.0,0.0,0.0,0.0
FGFR2_l146_s683833_mpnn5_model1,0.0,100.0,0.0,0.0,0.0,0.0
FGFR2_l83_s670258_mpnn4_model2,0.0,0.0,100.0,82.0,0.0,0.0
FGFR2_l83_s670258_mpnn1_model2,0.0,0.0,82.0,100.0,0.0,0.0
FGFR2_l78_s690935_mpnn11_model2,0.0,0.0,0.0,0.0,100.0,78.9
FGFR2_l78_s690935_mpnn6_model2,0.0,0.0,0.0,0.0,78.9,100.0
